국가명1,국가명2,국가_지역본부명,코사인 유사도
우크라이나,몽골,CIS지역본부,0.37429369969744475
우크라이나,벨라루스,CIS지역본부,0.4045145031175263
우크라이나,아르메니아,CIS지역본부,0.3650722774948856
우크라이나,아제르바이젠,CIS지역본부,0.4137736900449753
우크라이나,우즈베키스탄,CIS지역본부,0.3535573906535636
우크라이나,우크라이나,CIS지역본부,1.0
우크라이나,조지아,CIS지역본부,0.4094524616235194
우크라이나,카자흐스탄,CIS지역본부,0.47229795437097505
우크라이나,키르기즈스탄,CIS지역본부,0.32321938804603817
우크라이나,타지키스탄,CIS지역본부,0.23271373152082875
우크라이나,투르크메니스탄,CIS지역본부,0.3529177419334371
조지아,러시아연방,CIS지역본부,0.43315696546139104
조지아,몰다비아,CIS지역본부,0.38349251615097196
조지아,몽골,CIS지역본부,0.3048772477096213
조지아,벨라루스,CIS지역본부,0.3161270548354659
조지아,아르메니아,CIS지역본부,0.3571075130786247
조지아,아제르바이젠,CIS지역본부,0.4138259374638341
조지아,우즈베키스탄,CIS지역본부,0.31220546901197527
조지아,우크라이나,CIS지역본부,0.4094524616235194
조지아,조지아,CIS지역본부,1.0
조지아,카자흐스탄,CIS지역본부,0.41492258760905953
조지아,키르기즈스탄,CIS지역본부,0.2934835044528505
조지아,타지키스탄,CIS지역본부,0.22492872560160457
조지아,투르크메니스탄,CIS지역본부,0.3190613642815499
카자흐스탄,러시아연방,CIS지역본부,0.5673239363874364
카자흐스탄,몰다비아,CIS지역본부,0.42542860536159205
카자흐스탄,몽골,CIS지역본부,0.4562202810857753
카자흐스탄,벨라루스,CIS지역본부,0.3526796135684312
카자흐스탄,아르메니아,CIS지역본부,0.3823473155810771
카자흐스탄,아제르바이젠,CIS지역본부,0.420474605822916
카자흐스탄,우즈베키스탄,CIS지역본부,0.43090775561981337
카자흐스탄,우크라이나,CIS지역본부,0.47229795437097505
카자흐스탄,조지아,CIS지역본부,0.41492258760905953
카자흐스탄,카자흐스탄,CIS지역본부,1.0
카자흐스탄,키르기즈스탄,CIS지역본부,0.4203806962674531
카자흐스탄,타지키스탄,CIS지역본부,0.3331418695448812
카자흐스탄,투르크메니스탄,CIS지역본부,0.3636699893665927
키르기즈스탄,러시아연방,CIS지역본부,0.39341330618750875
키르기즈스탄,몰다비아,CIS지역본부,0.3314602580031017
키르기즈스탄,몽골,CIS지역본부,0.415035405400192
키르기즈스탄,벨라루스,CIS지역본부,0.2408309383411222
키르기즈스탄,아르메니아,CIS지역본부,0.28287625767552704
키르기즈스탄,아제르바이젠,CIS지역본부,0.31580307776091937
키르기즈스탄,우즈베키스탄,CIS지역본부,0.36568885524111
키르기즈스탄,우크라이나,CIS지역본부,0.32321938804603817
키르기즈스탄,조지아,CIS지역본부,0.2934835044528505
